roll_no,name,total_classes,classes_attended,attendance_percentage
20240001,Rahul Sharma,100,60,60.4
20240002,Priya Patel,100,50,50.8
20240003,Amit Kumar,100,68,68.1
20240004,Sneha Gupta,100,69,69.1
20240005,Vikram Singh,100,88,88.6
20240006,Anjali Mehta,100,92,92.7
20240007,Rohan Das,100,49,49.3
20240008,Kavya Reddy,100,59,59.9
20240009,Arjun Verma,100,80,80.1
20240010,Divya Nair,100,48,48.4
20240011,Sanjay Yadav,100,40,40.4
20240012,Neha Kapoor,100,40,40.1
20240013,Rajesh Malhotra,100,82,82.1
20240014,Pooja Desai,100,84,84.2
20240015,Karan Joshi,100,78,78.4
20240016,Meera Iyer,100,81,81.8
20240017,Aditya Rao,100,86,86.4
20240018,Shruti Bansal,100,88,88.2
20240019,Nikhil Saxena,100,77,77.2
20240020,Ritu Pandey,100,67,67.8
20240021,Varun Khanna,100,90,90.1
20240022,Sakshi Agarwal,100,66,66.6
20240023,Manish Dubey,100,92,92.4
20240024,Ananya Mishra,100,79,79.7
20240025,Deepak Soni,100,77,77.2
20240026,Ishita Shah,100,67,67.6
20240027,Rohit Chawla,100,68,68.3
20240028,Tanvi Kulkarni,100,44,44.4
20240029,Ashwin Nair,100,46,46.3
20240030,Simran Kaur,100,63,63.5
