roll_no,total_fees,fees_paid,fees_pending,parent_contact,parent_qualification
20240001,50000,50000,0,9876564102,Graduate
20240002,50000,40000,10000,9876578182,Graduate
20240003,50000,50000,0,9876534092,Diploma
20240004,50000,50000,0,9876561442,Post-Graduate
20240005,50000,40000,10000,9876563042,High School
20240006,50000,50000,0,9876535832,Graduate
20240007,50000,50000,0,9876550962,Diploma
20240008,50000,50000,0,9876553666,Post-Graduate
20240009,50000,30000,20000,9876529007,Diploma
20240010,50000,0,50000,9876532123,High School
20240011,50000,0,50000,9876580332,High School
20240012,50000,50000,0,9876559170,Post-Graduate
20240013,50000,40000,10000,9876572437,Graduate
20240014,50000,40000,10000,9876511214,Post-Graduate
20240015,50000,50000,0,9876511209,Graduate
20240016,50000,50000,0,9876560528,Post-Graduate
20240017,50000,40000,10000,9876576474,High School
20240018,50000,40000,10000,9876587355,Post-Graduate
20240019,50000,40000,10000,9876582149,Post-Graduate
20240020,50000,50000,0,9876576345,Graduate
20240021,50000,50000,0,9876564127,Graduate
20240022,50000,40000,10000,9876535650,Graduate
20240023,50000,50000,0,9876514110,Graduate
20240024,50000,50000,0,9876592040,Graduate
20240025,50000,30000,20000,9876555850,Graduate
20240026,50000,40000,10000,9876582458,Graduate
20240027,50000,50000,0,9876593072,Graduate
20240028,50000,25000,25000,9876549849,Graduate
20240029,50000,50000,0,9876562517,Post-Graduate
20240030,50000,50000,0,9876526303,High School
